place_id,place_name,category,short_description,full_description,address,latitude,longitude,opening_time,closing_time,closed_day,entry_fee,estimated_visit_duration,best_time_to_visit,family_friendly,child_friendly,senior_citizen_friendly,wheelchair_accessible,parking_available,washroom_available,food_allowed,photography_allowed,pets_allowed,crowd_level,budget_category,travel_mode,nearest_landmark,nearby_attractions,nearby_restaurants,tags,source,meta_id,History Score,Adventure Score,Family Score,Photography Score,Nature Score,Shopping Score,Food Score,Religious Score,Accessibility Score,Kids Score,Senior Score,Budget Score,Night Visit,Recommended Stay Time,Travel Difficulty,Popularity Score,Hidden Gem Score,police_station_name,nearest_hospital_name,fire_station_name
VNS017,Bharat Kala Bhavan Museum,Museum,University museum inside BHU housing rare miniature paintings and sculptures.,"Houses over 100,000 artifacts including textiles, Mughal miniatures, terracotta figures, and rare coins.","BHU Campus, Varanasi, Uttar Pradesh 221005",25.2671,82.9918,10:30,17:00,Sunday / University Holidays,"INR 20 (Indian), INR 300 (Foreigner)",1.5 hours,October to March,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Low,Budget,"Auto, E-Rickshaw",BHU Vishwanath Temple,"New Vishwanath Temple, BHU Law School",VT Canteen,"museum, bhu, miniature paintings, art collection",BHU Official Museum Board,META017,10,3,8,9,7,7,5,6,8,9,9,8,No,2 - 3 Hours,Easy,7,3,Cantt Police Station,Hindustan Hospital / Railway Hospital,Chetganj Fire Station
VNS018,Jantar Mantar Varanasi (Man Singh Observatory),Historical Site / Monument,18th-century astronomical observatory built by Maharaja Jai Singh II of Jaipur.,"Perched on top of Man Mahal Palace overlooking Man Mandir Ghat, featuring giant stone astronomical instruments.","Man Mandir Ghat, Dashashwamedh, Varanasi, UP 221001",25.3087,83.0116,09:00,17:00,,"INR 25 (Indian), INR 300 (Foreigner)",1 hour,October to March,Yes,Yes,Moderate,No,No,No,No,Yes,No,Low,Budget,Walking from Dashashwamedh,"Dashashwamedh Ghat, Rajendra Prasad Ghat",Dolphin Restaurant,"jantar mantar, observatory, astronomy, architecture",Archaeological Survey of India (ASI),,META018,10,4,8,8,5,5,6,4,8,8,8,8,No,2 - 3 Hours,Easy,9,4,Dashashwamedh Tourist Police Booth,Marwari Hospital,Chetganj Fire Station
VNS019,Namo Ghat (Khidkiya Ghat),Ghat,Modern redeveloped ghat with iconic Namaste hand sculptures and helipad facility.,"Features clean paved promenades, water sports, open-air amphitheater, and accessible design.","Rajghat, Varanasi, Uttar Pradesh 221001",25.3283,83.0312,00:00,23:59,,Free,1.5 hours,October to March (Evening),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,High,Free,"Auto, E-Rickshaw, Taxi",Malviya Bridge,"Rajghat, Kashi Railway Station","Namo Ghat Food Court, Cafe Riverview","namo ghat, modern ghat, riverfront, namaste sculpture",UP Tourism Department,META019,9,3,8,10,8,5,7,9,5,8,5,10,Yes,1.5 - 2 Hours,Easy,7,6,Cantt Police Station,Hindustan Hospital / Railway Hospital,Chetganj Fire Station
VNS020,Subah-e-Banaras at Assi Ghat,Cultural Event / Experience,Early morning cultural spiritual program at Assi Ghat with Vedic chanting and morning Aarti.,"Starts before sunrise with Ganga Aarti, Yajna, Vedic chanting, classical music and yoga sessions.","Assi Ghat, Varanasi, Uttar Pradesh 221005",25.2882,82.9996,05:00,07:00,,Free,2 hours,October to March (5:00 AM),Yes,Yes,Yes,Moderate,Yes,Yes,Yes,Yes,No,High,Free,"Auto, E-Rickshaw",Assi Crossing,"Assi Ghat, Tulsi Ghat",Pizzeria Vaatika Cafe,"subah-e-banaras, yoga, classical music, aarti",Subah-e-Banaras Committee,META020,7,5,8,7,7,5,7,8,8,7,8,8,Yes,1 - 2 Hours,Easy,7,5,Lanka Police Station,Sir Sunderlal Hospital & BHU Trauma Centre,Bhelupur Fire Station
VNS021,Scindia Ghat & Submerged Shiva Temple,Ghat / Temple,Historic ghat featuring a partially submerged 150-year-old Lord Shiva temple.,Known for its tranquil environment and the heavily tilted Ratneshwar Mahadev Temple sinking into river mud.,"Scindia Ghat, Bangali Tola, Varanasi, UP 221001",25.312,83.015,00:00,23:59,,Free,45 mins,October to March,Yes,Yes,Moderate,No,No,No,No,Yes,No,Moderate,Free,"Walking, Boat",Manikarnika Ghat,"Manikarnika Ghat, Panchganga Ghat","Blue Lassi, Brown Bread Bakery","scindia ghat, submerged temple, leaning temple, photography",UP Tourism Department,META021,8,3,9,9,9,6,8,8,5,6,6,9,No,1.5 - 2 Hours,Moderate,6,8,Chowk Police Station,SSP Gupta Hospital / Kabir Chaura Hospital,Chetganj Fire Station
VNS022,Darbhanga Ghat & BrijRama Palace,Ghat / Heritage,Photogenic ghat topped by a grand 19th-century palace built by the Royal Family of Darbhanga.,Features imposing heritage stone architecture now operating as a luxury heritage hotel.,"Darbhanga Ghat, Dashashwamedh, Varanasi, UP 221001",25.3065,83.01,00:00,23:59,,Free,45 mins,October to March,Yes,Yes,Moderate,No,No,No,No,Yes,No,Moderate,Free,"Walking, Boat",Dashashwamedh Ghat,"Munshi Ghat, Dashashwamedh Ghat",The Darbhanga Restaurant,"darbhanga ghat, heritage palace, riverfront, architecture",UP Tourism Department,META022,8,4,9,10,8,4,6,8,6,6,6,10,No,1.5 - 2 Hours,Moderate,6,8,Dashashwamedh Tourist Police Booth,Marwari Hospital,Chetganj Fire Station
VNS023,Chet Singh Ghat,Ghat / Fort,Fortified ghat witness to the historical battle between Maharaja Chet Singh and the British.,Features majestic stone walls and towers along the riverbank with rich historical significance.,"Shivala, Varanasi, Uttar Pradesh 221001",25.2936,83.0035,00:00,23:59,,Free,45 mins,October to March,Yes,Yes,Moderate,No,No,No,No,Yes,No,Low,Free,"Walking, Boat",Shivala Ghat,"Niranjani Ghat, Assi Ghat",Shivala Food Joints,"chet singh, fort ghat, history, war history",UP Tourism Department,META023,8,4,8,10,7,5,6,8,6,7,6,10,No,1.5 - 2 Hours,Moderate,6,7,Lanka Police Station,Sir Sunderlal Hospital & BHU Trauma Centre,Bhelupur Fire Station
VNS024,Panchganga Ghat,Ghat,Sacred ghat at the mythic confluence of five holy rivers.,Home to the massive Alamgir Mosque and numerous shrines where saint Tailang Swami lived.,"Panchganga Ghat, Varanasi, Uttar Pradesh 221001",25.3156,83.0181,00:00,23:59,,Free,1 hour,October to March,Yes,Yes,Low,No,No,No,No,Yes,No,Moderate,Free,"Walking, Boat",Scindia Ghat,"Alamgir Mosque, Bindu Madhav Temple",Local Tea Stalls,"panchganga, confluence, five rivers, heritage",UP Tourism Department,META024,9,3,8,10,7,5,7,8,6,7,7,9,No,1.5 - 2 Hours,Moderate,6,8,Chowk Police Station,SSP Gupta Hospital / Kabir Chaura Hospital,Chetganj Fire Station
VNS025,Mulagandha Kuti Vihar,Temple,Modern Buddhist monastery built by the Maha Bodhi Society in Sarnath.,"Features silver casket containing Buddha relics, wall paintings by Japanese artist Kosetsu Nosu, and a sacred Bodhi tree.","Sarnath, Varanasi, Uttar Pradesh 221007",25.3818,83.0245,06:00,18:00,,Free,1 hour,October to March,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Moderate,Free,"Auto, Taxi",Dhamek Stupa,"Dhamek Stupa, Deer Park",Sarnath Restaurant,"buddhist monastery, maha bodhi, relics, frescos",Maha Bodhi Society of India,META025,9,3,10,5,3,6,5,9,5,7,9,9,No,1 - 2 Hours,Moderate,6,7,Sarnath Police Station,Pandeypur District Hospital,Chetganj Fire Station
VNS026,Tibetan Temple Sarnath,Temple,Vibrant Tibetan Buddhist monastery built in traditional Tibetan architectural style.,"Features a large statue of Shakyamuni Buddha, traditional Tibetan prayer wheels, and intricate thangka paintings.","Sarnath, Varanasi, Uttar Pradesh 221007",25.38,83.02,06:00,18:00,,Free,45 mins,October to March,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Low,Free,"Auto, Taxi",Sarnath Museum,"Sarnath Museum, Thai Temple",Local Tibetan Noodle Stalls,"tibetan temple, thangka, prayer wheels, sarnath",Tibetan Monastery Board,META026,8,3,10,6,3,8,5,10,8,7,9,9,No,1 - 2 Hours,Moderate,7,5,Sarnath Police Station,Pandeypur District Hospital,Chetganj Fire Station
VNS027,Thai Temple Sarnath,Temple / Monastery,Beautiful monastery constructed by Thai Buddhist devotees surrounded by gardens.,Known for its massive 80-foot tall standing Buddha statue set amidst lush peaceful gardens.,"Sarnath, Varanasi, Uttar Pradesh 221007",25.3825,83.0195,06:00,18:00,,Free,45 mins,October to March,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Low,Free,"Auto, Taxi",Sarnath Museum,"Sarnath Museum, Tibetan Temple",Garden Cafe Sarnath,"thai temple, standing buddha, sarnath, quiet garden",Thai Monastery Board,META027,8,4,10,4,3,7,6,9,6,8,7,9,No,1 - 2 Hours,Moderate,6,6,Sarnath Police Station,Pandeypur District Hospital,Chetganj Fire Station
VNS028,Japanese Temple Sarnath,Temple,Minimalist Nichiren Shu Buddhist temple reflecting Zen design principles.,"Features a wooden pagoda structure, quiet meditation hall, and tranquil Japanese garden elements.","Sarnath, Varanasi, Uttar Pradesh 221007",25.383,83.021,07:00,17:00,,Free,30 mins,October to March,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Low,Free,"Auto, Taxi",Sarnath Museum,"Thai Temple, Dhamek Stupa",Local Sarnath Cafes,"japanese temple, zen, sarnath, wooden architecture",Nichiren Shu Monastery Board,META028,9,2,9,5,3,8,7,10,5,7,8,8,No,1 - 2 Hours,Moderate,8,5,Sarnath Police Station,Pandeypur District Hospital,Chetganj Fire Station
VNS029,Godowlia Market,Shopping / Market,"The bustling commercial heart of Varanasi selling local handicrafts, paan, and silk.","A vibrant shopping hub filled with shops offering Banarasi sarees, wooden toys, brassware, and famous local street foods.","Godowlia Crossing, Varanasi, Uttar Pradesh 221001",25.309,83.008,10:00,22:00,,Free,2 hours,October to March,Yes,Yes,Moderate,No,No,No,No,Yes,No,Very High,Free,"Walking, E-Rickshaw",Dashashwamedh Ghat,"Vishwanath Gali, Dashashwamedh Ghat","Kashi Chat Bhandar, Deena Chat Bhandar","shopping, banarasi silk, street food, godowlia",Varanasi Municipal Corporation,META029,7,5,8,8,3,10,10,4,5,6,4,6,Yes,2 - 3 Hours,Moderate,9,4,Dashashwamedh Tourist Police Booth,Marwari Hospital,Chetganj Fire Station
VNS030,Vishwanath Gali,Shopping / Market,Historic narrow lane leading to Kashi Vishwanath Temple packed with traditional shops.,"Famous for wooden toys, religious beads (Rudraksha), brass idols, sweets, and Banarasi silk materials.","Vishwanath Gali, Godowlia, Varanasi, UP 221001",25.31,83.009,06:00,22:00,,Free,1.5 hours,October to March,Yes,Yes,Low,No,No,No,No,Yes,No,Very High,Free,Walking,Godowlia Crossing,"Kashi Vishwanath Temple, Annapurna Temple","Blue Lassi Shop, Local Sweet Shops","gali, market, rudraksha, brass, banarasi shopping",Varanasi Municipal Corporation,META030,8,4,9,8,2,10,8,5,4,6,5,6,Yes,2 - 3 Hours,Moderate,9,4,Chowk Police Station,SSP Gupta Hospital / Kabir Chaura Hospital,Chetganj Fire Station
VNS031,Thatheri Bazaar,Shopping / Market,"Ancient market famous for traditional brass, copper metalsmiths, and Banarasi sweets.","Renowned for hand-beaten metal utensils, antiques, and historic sweet shops serving Malaiyo in winter.","Thatheri Bazaar, Chowk, Varanasi, UP 221001",25.314,83.0095,10:00,20:00,Sunday,Free,1.5 hours,November to February (for Malaiyo),Yes,Yes,Low,No,No,No,No,Yes,No,High,Free,"Walking, E-Rickshaw",Chowk Police Station,"Kaal Bhairav Temple, Chowk","Shree Rajbandhu Sweets, Blue Lassi","thatheri bazaar, brassware, malaiyo, heritage market",Varanasi Municipal Corporation,META031,6,5,8,9,1,10,9,5,3,5,4,8,Yes,2 - 3 Hours,Moderate,8,2,Chowk Police Station,SSP Gupta Hospital / Kabir Chaura Hospital,Chetganj Fire Station
VNS032,Varanasi Silk Weaving Village (Peoplani / Madanpura),Cultural / Craft Village,Heritage artisan neighborhood producing handloom Banarasi silk sarees.,"Witness master weavers working on traditional jacquard pit looms, crafting exquisite zari-brocaded silk sarees.","Madanpura / Peoplani, Varanasi, Uttar Pradesh 221001",25.302,83.004,10:00,18:00,Friday,Free,2 hours,October to March,Yes,Yes,Moderate,No,No,No,No,Yes,No,Moderate,Free,"Walking, Auto",Madanpura Crossing,"Godowlia Market, Dashashwamedh Ghat",Local Tea Stalls & Kebabs,"silk weaving, handloom, zari, banarasi saree, craft",Textile Ministry / UP Handloom Board,META032,7,4,9,8,3,10,8,3,3,7,4,8,Yes,2 - 3 Hours,Moderate,9,4,Dashashwamedh Tourist Police Booth,Marwari Hospital,Chetganj Fire Station
VNS033,Kedar Ghat,Ghat,Serene ghat popular for its vibrant striped steps and Ketareswar Shiva temple.,"Known for South Indian pilgrims, traditional step murals, and the ancient Ketareswar Jyotirlinga shrine.","Kedar Ghat, Bangali Tola, Varanasi, UP 221001",25.298,83.006,00:00,23:59,,Free,45 mins,October to March,Yes,Yes,Moderate,No,No,No,No,Yes,No,Moderate,Free,"Walking, Boat",Lali Ghat,"Harishchandra Ghat, Chauki Ghat",South Indian Cafe Kedar Ghat,"kedar ghat, south indian temple, step murals, shiva",UP Tourism Department,META033,8,3,9,9,7,5,8,8,4,7,7,10,No,1.5 - 2 Hours,Moderate,5,8,Dashashwamedh Tourist Police Booth,Marwari Hospital,Chetganj Fire Station
